date_key,full_date,day_of_week,day_name,month_num,month_name,quarter_num,year_num,is_weekend,is_holiday,holiday_name,is_double_day
20200101,2020-01-01,3,Thu 4,1,Thang 1,1,2020,0,1,New Year,0
20200102,2020-01-02,4,Thu 5,1,Thang 1,1,2020,0,0,,0
20200103,2020-01-03,5,Thu 6,1,Thang 1,1,2020,0,0,,0
20200104,2020-01-04,6,Thu 7,1,Thang 1,1,2020,1,0,,0
20200105,2020-01-05,7,Chu Nhat,1,Thang 1,1,2020,1,0,,0
20200106,2020-01-06,1,Thu 2,1,Thang 1,1,2020,0,0,,0
20200107,2020-01-07,2,Thu 3,1,Thang 1,1,2020,0,0,,0
20200108,2020-01-08,3,Thu 4,1,Thang 1,1,2020,0,0,,0
20200109,2020-01-09,4,Thu 5,1,Thang 1,1,2020,0,0,,0
20200110,2020-01-10,5,Thu 6,1,Thang 1,1,2020,0,0,,0
20200111,2020-01-11,6,Thu 7,1,Thang 1,1,2020,1,0,,0
20200112,2020-01-12,7,Chu Nhat,1,Thang 1,1,2020,1,0,,0
20200113,2020-01-13,1,Thu 2,1,Thang 1,1,2020,0,0,,0
20200114,2020-01-14,2,Thu 3,1,Thang 1,1,2020,0,0,,0
20200115,2020-01-15,3,Thu 4,1,Thang 1,1,2020,0,0,,0
20200116,2020-01-16,4,Thu 5,1,Thang 1,1,2020,0,0,,0
20200117,2020-01-17,5,Thu 6,1,Thang 1,1,2020,0,0,,0
20200118,2020-01-18,6,Thu 7,1,Thang 1,1,2020,1,0,,0
20200119,2020-01-19,7,Chu Nhat,1,Thang 1,1,2020,1,0,,0
20200120,2020-01-20,1,Thu 2,1,Thang 1,1,2020,0,0,,0
20200121,2020-01-21,2,Thu 3,1,Thang 1,1,2020,0,0,,0
20200122,2020-01-22,3,Thu 4,1,Thang 1,1,2020,0,0,,0
20200123,2020-01-23,4,Thu 5,1,Thang 1,1,2020,0,0,,0
20200124,2020-01-24,5,Thu 6,1,Thang 1,1,2020,0,1,Tet Holiday,0
20200125,2020-01-25,6,Thu 7,1,Thang 1,1,2020,1,1,Tet Holiday,0
20200126,2020-01-26,7,Chu Nhat,1,Thang 1,1,2020,1,1,Tet Holiday,0
20200127,2020-01-27,1,Thu 2,1,Thang 1,1,2020,0,1,Tet Holiday,0
20200128,2020-01-28,2,Thu 3,1,Thang 1,1,2020,0,1,Tet Holiday,0
20200129,2020-01-29,3,Thu 4,1,Thang 1,1,2020,0,1,Tet Holiday,0
20200130,2020-01-30,4,Thu 5,1,Thang 1,1,2020,0,0,,0
20200131,2020-01-31,5,Thu 6,1,Thang 1,1,2020,0,0,,0
