operating_hours_id,store_id,day_of_week,open_time,close_time
1,1,1,07:00:00,22:00:00
2,1,2,07:00:00,22:00:00
3,1,3,07:00:00,22:00:00
4,1,4,07:00:00,22:00:00
5,1,5,07:00:00,22:00:00
6,1,6,07:00:00,23:00:00
7,1,7,07:00:00,23:00:00
8,2,1,06:00:00,22:00:00
9,2,2,06:00:00,22:00:00
10,2,3,06:00:00,22:00:00
11,2,4,06:00:00,22:00:00
12,2,5,06:00:00,22:00:00
13,2,6,06:00:00,23:00:00
14,2,7,06:00:00,23:00:00
15,3,1,07:00:00,22:00:00
16,3,2,07:00:00,22:00:00
17,3,3,07:00:00,22:00:00
18,3,4,07:00:00,22:00:00
19,3,5,07:00:00,22:00:00
20,3,6,07:00:00,23:00:00
21,3,7,07:00:00,23:00:00
22,4,1,06:00:00,22:00:00
23,4,2,06:00:00,22:00:00
24,4,3,06:00:00,22:00:00
25,4,4,06:00:00,22:00:00
26,4,5,06:00:00,22:00:00
27,4,6,06:00:00,23:00:00
28,4,7,06:00:00,23:00:00
29,5,1,07:00:00,21:00:00
30,5,2,07:00:00,21:00:00
31,5,3,07:00:00,21:00:00
32,5,4,07:00:00,21:00:00
33,5,5,07:00:00,21:00:00
34,5,6,07:00:00,21:00:00
35,5,7,07:00:00,21:00:00
36,6,1,07:00:00,22:00:00
37,6,2,07:00:00,22:00:00
38,6,3,07:00:00,22:00:00
39,6,4,07:00:00,22:00:00
40,6,5,07:00:00,22:00:00
41,6,6,07:00:00,23:00:00
42,6,7,07:00:00,23:00:00
43,7,1,07:00:00,21:00:00
44,7,2,07:00:00,21:00:00
45,7,3,07:00:00,21:00:00
46,7,4,07:00:00,21:00:00
47,7,5,07:00:00,21:00:00
48,7,6,07:00:00,21:00:00
49,7,7,07:00:00,21:00:00
50,8,1,06:00:00,22:00:00
51,8,2,06:00:00,22:00:00
52,8,3,06:00:00,22:00:00
53,8,4,06:00:00,22:00:00
54,8,5,06:00:00,22:00:00
55,8,6,06:00:00,23:00:00
56,8,7,06:00:00,23:00:00
57,9,1,07:00:00,22:00:00
58,9,2,07:00:00,22:00:00
59,9,3,07:00:00,22:00:00
60,9,4,07:00:00,22:00:00
61,9,5,07:00:00,22:00:00
62,9,6,07:00:00,23:00:00
63,9,7,07:00:00,23:00:00
64,10,1,06:00:00,22:00:00
65,10,2,06:00:00,22:00:00
66,10,3,06:00:00,22:00:00
67,10,4,06:00:00,22:00:00
68,10,5,06:00:00,22:00:00
69,10,6,06:00:00,23:00:00
70,10,7,06:00:00,23:00:00
71,11,1,07:00:00,22:00:00
72,11,2,07:00:00,22:00:00
73,11,3,07:00:00,22:00:00
74,11,4,07:00:00,22:00:00
75,11,5,07:00:00,22:00:00
76,11,6,07:00:00,23:00:00
77,11,7,07:00:00,23:00:00
78,12,1,07:00:00,21:00:00
79,12,2,07:00:00,21:00:00
80,12,3,07:00:00,21:00:00
81,12,4,07:00:00,21:00:00
82,12,5,07:00:00,21:00:00
83,12,6,07:00:00,21:00:00
84,12,7,07:00:00,21:00:00
85,13,1,07:00:00,22:00:00
86,13,2,07:00:00,22:00:00
87,13,3,07:00:00,22:00:00
88,13,4,07:00:00,22:00:00
89,13,5,07:00:00,22:00:00
90,13,6,07:00:00,23:00:00
91,13,7,07:00:00,23:00:00
92,14,1,07:00:00,22:00:00
93,14,2,07:00:00,22:00:00
94,14,3,07:00:00,22:00:00
95,14,4,07:00:00,22:00:00
96,14,5,07:00:00,22:00:00
97,14,6,07:00:00,23:00:00
98,14,7,07:00:00,23:00:00
99,15,1,07:00:00,21:00:00
100,15,2,07:00:00,21:00:00
